count,hybrid_mask
4720,?d?d?d?d?w1
4701,?l?l?l?w2?l
4679,?u?u?d?d?d?d
4677,?w4?w3?l
4672,?l?l?d?d?l?l
4651,?l?l?l?w3?d?d
4597,?d?w3?d?d
4595,?l?l?w2?d?d?d?d
4589,?d?d?d?d?d?d?d?w2
4579,?w3?d?d?d?d?d?d?d?d
4546,?w3?u?u
4541,?l?l?l?w3?l
4539,?l?w2?l?d
4512,?l?w3?l?d?d
4374,?s?w3
4363,?w3?d?s
4343,?w2?w3?w2
4341,?u?l?l?w3
4317,?l?l?w2?w4
4310,?w4?w2?l
4269,?w1?l?l?d
4242,?d?d?d?d?d?w3
4222,?l?l?l?d?w2
4204,?w4?d?d?s
4177,?w3?l?s
4163,?w1?l?w3
4155,?u?u?u?u?w3
4148,?l?d?d?d?d?d?d?d?l
4138,?w2?d?d?w3
4138,?l?d?d?d?d?d?d?d?d?d
4133,?u?w2?w2
4125,?l?w3?l?d
4120,?w4?w2?d
4119,?w3?u?d?d
4095,?d?d?d?w2?d?d?d?d?d?d
4088,?w3?d?l?l
4076,?l?l?w2?l?l?l
4074,?w2?l?w1
4070,?u?u?u?u?u?u?u?u
4009,?d?d?w2?l
3923,?d?d?d?d?d?d?d?l?l
3921,?u?u?w3
3920,?w4?s?w2
3913,?w3?d?d?d?w2?d?d?d
3879,?w3?l?l?l?d?d
3877,?d?d?w2?w2
3854,?w2?d?d?d?w3?d?d?d
3850,?u?l?w3
3841,?d?w2?w2
3825,?w2?s?s
3823,?w2?d?d?d?d?d?d?d?d
3815,?w2?l?l?l?l?l
3804,?w4?d?l
3794,?d?d?d?d?d?d?w3
3786,?w3?w3?w2
3757,?s?w2?s
3752,?u?w3?d
3717,?u?w2?d?d
3711,?w1?d?d?d?d?d
3706,?u?w3?w2
3665,?u?l?w2?d?d
3663,?l?l?w4?d
3639,?w2?d?l?l
3636,?l?l?w3?l?l
3621,?l?l?w2?l?d?d
3603,?w2?l?w2?l
3591,?s?w3?s
3579,?w3?u?u?u?u
3565,?l?l?l?l?d
3518,?w2?s?l
3510,?d?d?d?w3?d?d
3503,?d?d?d?d?w2?d?d?d?d
3501,?w2?w4?d?d
3465,?d?d?d?d?d?d?l?l?l
3461,?w1?w2?d
3461,?w1?l?w2
3425,?l?l?s?w3
3409,?w2?l?l?w4
3390,?l?l?w2?l?d
3390,?l?l?l?l?w1
3379,?w4?d?d?w2
3354,?w4?w3?d
3343,?w2?d?d?d?w2?d?d?d
3333,?d?d?d?w3?d
3315,?w3?s?d?d?d
3306,?u?u?u?u?w4
3299,?w2?l?l?d?d?d?d
3299,?d?d?d?d?d?l?l?l?l?l
3293,?d?d?d?d?l?l?l?l
3287,?w2?w1?d
3256,?l?d?d?d?d?l
3242,?l?s?w2
3241,?u?u?u?u?u?u?d?d
3238,?l?w1?l
3229,?u?w4?d
3226,?l?w1?d
3200,?w2?u?u
3188,?l?l?l?l
3184,?u?u?u?u?d?d?d
3183,?u?w2
3179,?d?d?w2?d?d?d?d?d?d
3145,?l?l?d?d?d
3132,?l?d?w3
3131,?w4?u?d
3128,?w4?w3?d?d
3128,?l?w3?w1
3125,?d?d?d?d?d?d?d?d?d?l
3119,?l?d?l?d?l?d?l?d
3107,?u?u?u?u?u?d?d
3098,?w2?d?d?d?w2
3094,?l?l?w4?d?d
3086,?l?d?l?d?l?d
3083,?w2?l?l?l?w2
3072,?w2?w2?w3
3060,?w3?s?w1
3060,?s?w1?s
3044,?w2?w4?d
3040,?l?l?l?d?d?d?d?d?d?d
3036,?d?d?w2?l?l
3022,?u?u?u?u?u?u?d
3009,?l?l?w1?d
3006,?w4?u?u?u?u
3006,?d?d?d?d?w2?d?d?d
2999,?w3?u?d
2997,?u?u?u?u?d?d?d?d
2995,?w3?d?d?w3
2992,?w2?w1?d?d
2973,?l?l?l?d?d?l?l?l
2941,?w2?d?d?l?l?l
2933,?u?l?l?l?w2
2928,?l?l?d?w3
2924,?l?w1?d?d
2919,?d?d?d?d?d?l?l?l
2915,?w2?w1?w2
2911,?w1?s?w2
2910,?d?w2?l
2896,?w3?s?l
2896,?l?l?l?l?l?d?d?d
2888,?u?w3?d?d?d
2872,?w2?s?w1
2870,?d?w3?w2
2867,?w3?w3?w3
2837,?w4?d?s
2824,?l?l?s?w2
2792,?d?d?w3?d?d?d
2787,?d?d?d?d?w2?l
2779,?l?l?l?w2?l?l
2772,?d?d?d?d?w3?d
2763,?d?d?d?d?d?d?d?d?w2
2762,?w3?d?d?l
2762,?l?d?w4
2760,?l?d?d?l?d?d
2754,?w3?d?w2?d
2743,?l?w2?l?l?d?d
2741,?l?w2?l?w3
2739,?w3?w2?s
2724,?w1?s?s
2712,?w4?w2?l?l
2700,?w3?w2?d?d?d
2698,?u?u?u?u?u?d
2692,?w4?s?w3
2690,?l?l?w4?l
2668,?d?d?d?w2?l
2609,?w3?l?w2?l
2607,?w3?l?l?w3
2598,?w2?w2?d?d?d?d
2585,?l?l?l?l?l?l?w2
2583,?w2?s?w4
2571,?w3?w4?d?d
2570,?w2?l?w2?d
2564,?w2?w4?w2
2560,?l?l?l?l?w2?d?d
2536,?w3?s?l?l
2518,?l?l?d?l?l?l
2504,?w2?w3?d?d?d
2495,?l?d?d?d?w2
2487,?l?l?l?d?l?l
2486,?w4?l?w4
2479,?w2?w3?w3
2474,?w2?l?w2?d?d
2466,?l?w3?s
2449,?w1?d?d?d?d?d?d
2441,?l?l?l?l?w2?l
2440,?w1?d?l
2429,?l?l?l?w2?w2
2422,?u?w4?d?d
2394,?d?w2?w3
2385,?w4?d?d?d?d?d?d?d
2373,?l?l?l?s?w2
2373,?l?l?l?l?l?l?l?d
2371,?l?w3?l?w2
2368,?d?w3?d?d?d
2366,?w2?s?l?l
2365,?w2?l?l?w1
2356,?l?w2?l?l?d
2354,?l?w2?l?l?l?l
2351,?w4?w2?w2
2351,?l?l?d?d?d?l?l
2346,?u?w2?w3
2340,?l?l?d?d?l?l?d?d
2337,?w3?u?w3
2335,?w2?w2?l?d
2332,?w2?s?d?d?d
2331,?w3?w3?d?d?d
2330,?u?l?l?l?d?d
2314,?w2?w2?s
2309,?w3?w2?w3
2304,?w4?u?d?d
2293,?l?l?w3?w2
2273,?w1?w3?d
2268,?w2?d?d?d?d?d?d?d?d?d
2266,?w2?d?d?s
2262,?w2?l?s
2256,?l?s?w3
2241,?l?l?l?d?l?l?l
2241,?l?l?d?d?d?d?d?d?d?d
2222,?u?w3?w3
2217,?w2?w4?l
2216,?w1?w2?l
2201,?w2?l?l?l?l?d
2201,?l?d?d?d?d
2201,?d?d?d?w2?d?d?d?d
2199,?l?w3?l?w3
2183,?d?d?w3?w2
2175,?l?w4?l?l
2165,?w3?d?d?l?l
2147,?l?l?d?d?l?l?l
2142,?u?w2?w4
2134,?w1?d?w2
2133,?w2?l?w3?d
2132,?d?w1?l
2129,?l?w2?w1
2111,?l?l?l?l?w2?d
2072,?l?l?w2?w1
2068,?w4?d?w2
2059,?d?d?d?d?d?d?d?w3
2043,?w4?s?d?d?d
2031,?w2?w3?l?l
2007,?w1?s?w3
2006,?w3?l?w3?l
1997,?u?w1
1988,?l?l?l?l?d?d?d?d?d
1986,?l?l?l?l?d?l
1985,?d?l?w2
1979,?l?w2?l?d?d?d
1979,?d?l?w4
1979,?d?d?d?d?l?l?l?l?l
1969,?w3?d?d?d?w2
1969,?w1?d?d?w2
1958,?d?d?d?d?d?d?u
1955,?d?d?d?d?d?d?d?d?l?l
1953,?w3?s?d?d?d?d
1952,?w2?u?u?u
1950,?w4?l?d?d?d
1948,?w3?u?w2
1936,?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d
1935,?l?l?l?l?d?d?d?d?d?d
1931,?w1?l?l?d?d
1930,?w2?d?l?l?l
1920,?w2?l?l?s
1919,?l?l?d?l?l?d
1916,?l?w4?w2
1904,?u?w2?d?d?d?d
1902,?u?l?w3?d?d
1898,?d?w3?l
1893,?l?l?d?w2?d
1888,?l?d?l?w2
1883,?d?w3?d?d?d?d
1881,?w1?l?l?l?l
1876,?w1?u
1875,?l?l?l?l?l?l?l?l?l
1873,?w3?l?l?l?w2
1871,?w3?l?l?d?d?d
1870,?w3?l?w2?d
1863,?w1?w3?l
1862,?l?l?l?d?d?l
1860,?w3?l?l?l?l?l
1859,?w2?s?l?l?l
1847,?u?w2?l
1846,?w1?l?l?w2
1842,?d?d?w3?d?d?d?d
1840,?u?l?l?d?d?d?d
1836,?w4?l?s
1836,?w3?w4?w2
1830,?w2?w2?w4
1830,?l?w2?w2?d?d
1828,?w3?d?l?d
1827,?u?l?l?l?w3
1826,?d?d?l?l?l?d?d
1813,?u?l?w3?d
1810,?d?w3?w3
1809,?u?w2?d
1806,?d?d?d?d?d?d?d?d?d?d?d?d?d?d?d
1805,?u?u?w2?d?d
1799,?u?u?d?d?d?d?d
1792,?u?l?l?w2?d?d
1787,?w3?l?w2?d?d
1785,?l?l?l?l?l?w3
1762,?w3?s?w4
1759,?u?d?d?d?d?d?d?d
1756,?w2?w2?w1
1748,?d?d?w2?w3
1744,?w1?l?d?d?d
1743,?w2?l?w3?d?d
1742,?s?d?w2
1741,?d?w2?d?l
1737,?u?u?u?d?d
1735,?w2?w2?l?l?l
1735,?u?w2?d?d?d
1733,?l?s?w4
1727,?w2?d?d?w2?d?d
1721,?d?l?l?w2
1715,?u?w3?w4
1714,?l?w2?w2?l
1714,?l?l?s?w4
1704,?l?l?w4?l?l
1701,?d?d?w3?d?d?d?d?d?d
1698,?d?l?w3
1695,?w1?w3?d?d
1686,?w2?d?d?d?d?w2
1685,?w3?l?d?l
1682,?l?l?w3?d?d?d
1680,?w3?w4?d
1679,?l?d?d?d?d?d?d?l
1677,?l?l?w2?s
1672,?w3?w3?s
1669,?w2?w2?l?d?d
1667,?w2?w3?s
1666,?w1?w2?d?d?d
1665,?w1?w2?w2
1663,?w3?d?l?l?l
1663,?w1?l?s
1656,?w3?w3?l?l
1651,?l?l?l?s?l?l?l
1647,?w2?s?d?d?d?d
1645,?d?d?w1?d
1645,?d?d?d?d?l
1636,?w1?w2?l?l
1635,?u?w3?d?d?d?d
1635,?l?w2?w2?d
1635,?l?l?d?d?d?d?l?l
1633,?w2?l?l?l?l?d?d
1630,?u?w3?u
1617,?l?l?l
1614,?d?d?d?d?d?d?d?l?l?l
1609,?w3?w2?w1
1604,?w4?w2?s
1602,?d?d?d?d?d?d?d?d?w3
1589,?l?l?l?l?w3?d
1582,?w3?d?d?d?s
1578,?w2?l?d?l
1578,?w2?d?d?d?l
1578,?d?d?d?d?u?u
1566,?u?w3?l
1566,?l?w3?l?l?d
1564,?l?d?d?d?l?l?l
1553,?u?d?d?d?d?d
1549,?u?u?d?d?d?d?d?d
1549,?d?l?l?w3
1544,?l?d?l?w3
1539,?w3?d?d?d?d?w2
1539,?d?w1?d?d
1537,?l?l?w2?l?w2
1536,?w4?w2?d?d?d
1534,?l?l?l?l?l?l?d?d?d
1532,?w3?w2?w4
1531,?l?l?d?d?w3
1523,?w2?l?w3?l
1521,?w3?w2?d?d?d?d
1517,?d?w1?d?d?d
1512,?d?d?d?w3?d?d?d
1510,?l?d?d?l?l?l
1504,?l?d?l?l?l?l
1502,?u?l?l?w3?d
1500,?s?w1
1498,?d?w2?l?l
1494,?w1?d?s
1484,?l?d?d?l?d?d?l?d?d
1473,?w2?d?d?d?d?d?d?d?d?d?d
1468,?w3?s?l?l?l
1459,?d?d?d?d?d?d?w1
1455,?l?l?w1?d?d
1453,?u?u?u?u?u?u?u?d
1452,?l?l?l?w2?d?d?d
1451,?w4?u?u?d
1447,?l?l?w4?w2
1437,?d?d?d?d?d?w4
1436,?w3?l?s?d?d
1433,?d?w2?d?w2
1432,?l?l?l?d?w3
1426,?d?w4?d
1421,?u?u?u?u?u?u?u?u?u
1419,?u?u?u?w3?d
1416,?w4?s?l
1415,?w3?w3?d?d?d?d
1415,?l?l?w2?l?l?d
1413,?w2?u?u?u?u
1410,?d?d?d?d?d?w1
1408,?w2?w3?d?d?d?d
1403,?w3?d?d?d?d?d?d?d?d?d
1401,?l?w3?w2?d?d
1398,?l?d?l?l?d?l
1397,?w2?w1?l
1396,?d?d?d?d?d?d?d?u
1393,?l?w3?s?d?d
1391,?w2?w4?d?d?d
1385,?l?w3?l?l?d?d
1382,?l?d?w2?d
1380,?u?l?l?l?d?d?d?d
1374,?u?l?w2?d
1372,?d?w2?d?d?d?d?d?d
1359,?d?d?d?d?d?d?d?d?d?w2
1357,?d?d?d?d?d?d?w2?d
1355,?l?l?d?w4
1345,?d?d?d?l?l?l?l
1341,?l?l?l?s?d?d
1339,?w1?d?d?s
1335,?l?w4?d?d?d
1334,?d?d?d?d?w2?l?l
1333,?u?l?w2?w2
1332,?d?d?w2?l?l?l
1327,?w3?l?w3?d
1327,?l?l?w3?w3
1323,?w4?d?d?d?s
1319,?w4?d?d?d?d?d?d?d?d
1311,?w4?w3?d?d?d
1308,?w4?s?w1
1308,?w4?l?l?l?d
1306,?u?u?u?u?d
1290,?w3?w3?w4
1287,?w4?w3?w2
1287,?d?d?d?w3?d?d?d?d?d
1285,?l?l?d?d?d?w2
1282,?l?l?l?l?l?l?l?d?d
1280,?d?w4?l
1279,?l?l?l?s?w3
1278,?w3?w4?l
1278,?w3?l?w3?d?d
1273,?w2?d?w1
1271,?d?d?d?w2?l?l
1264,?l?l?l?l?l?l?d?d?d?d
1258,?l?w2?l?l?w2
1257,?w2?d?w2?d?d
1257,?u?u?u?w1
1253,?w3?u?u?d
1250,?l?d?d?w3
1246,?w2?l?l?l?w3
1243,?l?w2?d?d?d?d?d
1242,?l?d?w2?d?d
1238,?w3?w4?d?d?d
1236,?s?d?w3
1234,?w4?s?l?l
1234,?w4?d?l?l
1231,?l?w3?w2?d
1224,?l?l?l?d?d?l?l
1223,?u?u?w3?d
1223,?d?d?d?d?d?d?d?d?d?d?w2
1219,?l?l?l?l?d?d?w2
1218,?d?d?d?d?w2?d?d?d?d?d
1215,?s?w2
1212,?w3?l?l?l?l?d
1208,?l?l?l?l?w3?d?d
1207,?w3?l?l?w4
1198,?l?l?l?w3?w2
1198,?d?d?d?d?d?d?w4
1197,?w2?w3?w4
1195,?w3?u?u?u?d
1194,?l?l?w2?l?l?d?d
1189,?u?l?l?w3?d?d
1180,?u?u?w3?d?d
1178,?u?u?u?d?d?d?d?d
1174,?l?l?l?l?l?d?d?d?d
1172,?w1?d?l?l
1171,?w3?d?w1
1168,?w2?w4?l?l
1168,?w1?s?l
1167,?u?w2?u
1161,?l?l?l?l?s?d?d
1160,?d?d?d?w3?l
1155,?w2?l?l?l?d?d?d
1153,?w2?u
1153,?u?l?l?w2?d
1153,?l?w2?w3?d
1151,?u?l?l?l?w4
1151,?d?d?w3?l
1149,?u?u?u?w2?d?d
1147,?l?w3?l?l?l?l
1146,?w3?w1?d
1146,?u?u?u?w3?d?d
1144,?w4?u?w3
1144,?w4?d?d?l
1143,?w3?w1?d?d
1141,?l?l?w2?l?l?w2
1140,?w3?l?s?d
1133,?d?l?l?w4
1133,?d?d?d?d?d?l?l?l?l
1132,?u?u?u?u?u?u?u?d?d
1131,?w2?d?l?d
1131,?l?w2?l?d?d?d?d
1128,?u?l?l?d?d?d
1127,?w4?w4?d?d
1124,?l?l?l?d?w2?d
1122,?w3?d?d?d?d?d?d?d?d?d?d
1117,?l?l?d?w1
1110,?w3?l?l?s
1109,?l?d?d?d?d?d?d?d?d?d?d
1109,?d?d?d?d?d?d?d?w1
1102,?l?l?l?l?w3?l
1098,?w2?d?d?w2?d
1093,?l?d?w1
1091,?w4?d?l?d
1091,?w2?w2?l?w2
1085,?d?d?d?l?w3
1085,?d?d?d?d?w2?w2
1067,?u?w4?u
1066,?d?w3?l?l
1066,?d?d?d?d?d?w2?d?d
1065,?l?w3?w2?l
1063,?w2?l?l?l?l?l?l
1063,?l?l?d?d?d?l
1059,?l?d?d?w2?d
1058,?l?l?w3?l?d?d
1058,?l?l?w3?l?d
1056,?l?w3?w3?l
1054,?u?w2?l?d?d
1051,?l?w3?d?d?d?d?d
1050,?l?l?w2?l?w3
1046,?l?l?w2?l?l?l?l
1044,?w3?u?u?d?d
1042,?w4?d?d?d?w2
1039,?u?d?d?d?d?d?d
1037,?u?l?w2?d?d?d
1030,?w2?d?d?d?l?l
1027,?l?l?l?l?l?l?l?l?d
1026,?w4?l?l?w4
1026,?u?u?u?u?u?w2
1025,?w4?l?w1
1021,?l?l?l?d?d?d?w3?d?d?d
1020,?d?w2?d?l?l
1016,?w3?u?d?d?d
1014,?w4?w2?w3
1014,?w4?l?l?l?d?d
1006,?l?d?l?l?w2
1006,?d?l?l?l?l?l
1005,?l?w4?w3
1004,?l?l?l?w4?l
996,?w4?d?d?w3
994,?w1?d?w3
992,?w4?l?l?w3
992,?w4?l?l?s
991,?l?d?d?d?l?l
990,?d?d?l?l?l?l
988,?l?d?l?d?l?l
985,?w4?s?d?d?d?d
985,?l?l?l?d?l?l?l?d
984,?l?d?d?d?d?d?l
980,?d?w2?w2?d
979,?l?w3?l?l?w2
978,?l?l?l?d?d?d?d?d?d?d?d
977,?w3?u?w4
976,?w3?d?w4
974,?w4?l?d?l
974,?d?d?s?d?d?s?d?d
973,?l?s?l?w2
972,?w2?w1?d?d?d
972,?l?l?l?w4?d?d
971,?w3?d?d?d?l?l?l?d?d?d
970,?w2?w4?w3
966,?u?l?w2?l
960,?l?l?l?d?d?d?w2
958,?w4?l?d?d?d?d
958,?w3?l?l?w1
958,?d?w2?d?d?d?d?d?d?d?d
957,?w1?l?w4
956,?d?l?d?l?d?l
952,?w2?l?d?w2
950,?w2?l?d?l?l
949,?w2?d?w4
948,?w3?w2?l?d
948,?w2?l?s?d?d
945,?w1?w2?w3
943,?w4?w2?w4
943,?l?w2?d?d?d?d?d?d
941,?l?l?l?w3?l?l
939,?l?l?l?l?d?w2
938,?w1?d?d?d?d?d?d?d
937,?w2?d?d?w4
935,?u?l?l?l?d?d?d
933,?l?w3?w3?d
932,?s?d?w4
932,?d?d?d?w2?d?d?d?d?d
929,?l?l?l?l?l?l?l?l?l?l
928,?w4?u?u?d?d
928,?w3?w1?l
928,?u?w2?l?l
927,?w2?l?l?l?l?w2
924,?u?u?u?u?w1
922,?l?l?w2?w2?d?d
921,?l?l?l?w4?d
921,?d?d?d?w2?w2
919,?w4?u?w2
919,?w2?d?d?d?d?l
919,?d?d?w1?d?d
915,?w4?w3?w3
915,?l?l?l?l?l?w4
914,?l?l?d?d?d?d?w2
910,?u?u?w1
910,?l?l?l?d?d?d?w2?d?d?d
909,?u?l?l?l?l?l
907,?l?l?l?s?d?d?d
905,?w3?d?d?s?s
905,?l?w2?w3?l
904,?w1?s?w1
900,?u?u?w4?d
896,?w1?d?l?d
896,?l?w2?l?w4
891,?w3?d?d?d?l
890,?d?d?d?d?l?w3
889,?w2?u?d?d
886,?w3?l?d?l?l
885,?u?w3?l?d?d
882,?w4?d?w3
881,?l?l?l?s?d?d?d?d
880,?l?l?l?w2?d?d?d?d
878,?w2?l?w2?w2
878,?d?d?d?d?d?d?d?w2?d?d
876,?w3?u?u?u?d?d
875,?w1?d?d?l
872,?w2?l?d?d?d?d?d
871,?s?d?w1
871,?l?l?l?w2?l?l?l
